year	delta
1851	9
1851	7
1851	10
1851	8
1851	7
1851	8
1851	9
1851	10
1851	7
1851	7
1851	6
1851	10
1851	7
1851	9
1851	6
1851	5
1851	5
1851	7
1851	6
1851	6
1851	6
1851	13
1851	9
1851	7
1851	6
1851	12
1851	7
1851	6
1851	5
1851	7
1851	7
1851	8
1851	6
1851	6
1851	12
1851	6
1851	8
1852	9
1852	13
1852	8
1852	12
1852	9
1852	7
1852	6
1852	8
1852	6
1852	11
1852	6
1852	9
1852	7
1852	6
1852	7
1852	6
1852	6
1852	7
1852	7
1852	8
1852	7
1852	10
1852	6
1852	6
1852	11
1852	5
1852	6
1853	10
1853	6
1853	6
1853	6
1853	5
1853	8
1853	11
1853	5
1853	6
1853	8
1853	8
1853	4
1853	6
1853	6
1853	8
1853	5
1853	11
1853	8
1853	7
1853	5
1853	10
1853	8
1853	5
1853	7
1853	4
1853	5
1853	5
1853	7
1853	5
1853	17
1853	4
1853	6
1854	7
1854	5
1854	7
1854	5
1854	5
1854	5
1854	6
1854	5
1854	5
1854	6
1854	6
1854	6
1854	4
1854	4
1854	5
1854	5
1854	7
1854	4
1854	5
1854	5
1854	5
1854	5
1854	8
1854	5
1854	7
1854	5
1854	5
1854	11
1854	6
1854	5
1854	7
1854	4
1854	4
1854	7
1854	5
1854	5
1854	6
1854	6
1855	5
1855	4
1855	8
1855	6
1855	5
1855	6
1855	7
1855	9
1855	7
1855	7
1855	4
1855	6
1855	5
1855	7
1855	5
1855	6
1855	16
1855	6
1855	5
1855	8
1855	5
1855	5
1855	7
1855	7
1855	8
1855	5
1855	7
1856	10
1856	8
1856	10
1856	5
1856	7
1856	5
1856	6
1856	8
1856	5
1856	8
1856	4
1856	5
1856	4
1856	5
1856	4
1856	4
1856	6
1856	6
1856	5
1856	12
1856	4
1856	5
1856	5
1856	8
1856	5
1856	6
1856	4
1856	5
1856	5
1856	5
1856	5
1856	4
1856	5
1856	6
1856	4
1856	5
1856	4
1856	6
1856	7
1856	6
1856	5
1856	6
1856	5
1856	7
1856	4
1856	7
1856	4
1856	5
1857	4
1857	4
1857	5
1857	4
1857	4
1857	4
1857	4
1857	4
1857	6
1857	6
1857	4
1857	7
1857	5
1857	5
1857	6
1857	7
1857	4
1857	6
1857	6
1857	5
1857	5
1857	5
1857	5
1857	4
1857	4
1857	4
1857	8
1857	4
1857	4
1857	8
1857	7
1857	4
1857	4
1857	5
1857	5
1857	5
1857	8
1857	5
1857	10
1857	4
1857	4
1857	4
1857	4
1857	4
1858	14
1858	4
1858	4
1858	5
1858	5
1858	5
1858	4
1858	6
1858	8
1858	7
1858	8
1858	3
1858	4
1858	10
1858	5
1858	6
1858	6
1858	5
1858	5
1858	5
1858	7
1858	7
1858	11
1858	5
1858	8
1858	5
1858	5
1858	7
1858	8
1858	5
1858	6
1858	10
1858	5
1858	7
1858	5
1858	3
1858	6
1858	5
1858	5
1858	5
1858	4
1858	8
1858	7
1858	5
1858	8
1858	7
1858	9
1858	4
1858	6
1858	9
1858	5
1858	4
1858	9
1858	5
1858	4
1858	10
1858	5
1858	7
1858	8
1858	5
1858	4
1858	9
1858	7
1858	8
1858	14
1859	6
1859	5
1859	6
1859	7
1859	7
1859	3
1859	4
1859	5
1859	3
1859	9
1859	4
1859	7
1859	4
1859	11
1859	6
1859	5
1859	8
1859	5
1859	4
1859	6
1859	5
1859	5
1859	4
1859	7
1859	5
1859	6
1859	5
1859	4
1859	5
1859	6
1859	9
1859	5
1859	3
1859	6
1859	4
1859	4
1859	5
1859	6
1859	4
1859	8
1859	4
1859	7
1859	7
1859	5
1859	5
1859	7
1859	15
1859	5
1859	4
1859	5
1859	8
1859	7
1859	4
1859	6
1859	4
1859	5
1859	4
1859	4
1859	7
1859	4
1859	4
1859	4
1859	5
1859	4
1859	4
1860	4
1860	6
1860	8
1860	6
1860	4
1860	7
1860	5
1860	41
1860	40
1860	6
1860	4
1860	4
1860	4
1860	7
1860	4
1860	6
1860	4
1860	7
1860	4
1860	4
1860	7
1860	4
1860	5
1860	5
1860	4
1860	5
1860	4
1860	3
1860	4
1860	3
1860	4
1860	4
1860	5
1860	5
1860	6
1860	13
1860	8
1860	6
1860	6
1860	7
1860	6
1860	5
1860	5
1860	5
1860	5
1860	7
1860	5
1860	5
1860	5
1860	4
1860	6
1860	5
1860	5
1860	6
1860	4
1860	7
1860	6
1860	4
1860	6
1860	6
1860	5
1860	6
1860	5
1860	7
1860	6
1860	6
1860	4
1861	4
1861	9
1861	5
1861	6
1861	5
1861	7
1861	4
1861	3
1861	3
1861	6
1861	3
1861	6
1861	3
1861	3
1861	6
1861	5
1861	6
1861	5
1861	6
1861	7
1861	6
1861	6
1861	6
1861	6
1861	6
1861	7
1861	6
1861	6
1861	7
1861	6
1861	6
1861	7
1861	4
1861	7
1861	6
1861	4
1861	6
1861	4
1861	6
1861	6
1861	6
1861	7
1861	3
1861	6
1861	4
1861	5
1861	7
1861	7
1861	8
1862	4
1862	8
1862	4
1862	7
1862	13
1862	4
1862	3
1862	3
1862	5
1862	3
1862	3
1862	8
1862	4
1862	7
1862	3
1862	3
1862	10
1862	7
1862	9
1862	9
1862	4
1862	4
1862	4
1862	4
1862	4
1862	3
1862	8
1862	3
1862	3
1862	3
1862	4
1862	6
1862	7
1862	14
1862	3
1862	4
1862	4
1862	11
1862	3
1862	3
1862	8
1862	7
1862	3
1862	3
1862	3
1862	3
1862	7
1862	10
1862	5
1863	4
1863	3
1863	3
1863	3
1863	3
1863	3
1863	3
1863	3
1863	3
1863	4
1863	3
1863	9
1863	3
1863	3
1863	4
1863	3
1863	11
1863	7
1863	3
1863	3
1863	4
1863	3
1863	3
1863	3
1863	4
1863	3
1863	11
1863	4
1863	3
1863	3
1863	9
1863	5
1863	3
1863	7
1863	4
1863	6
1863	3
1863	4
1863	3
1863	3
1863	4
1863	4
1863	4
1863	4
1863	4
1863	4
1863	3
1863	6
1863	4
1863	6
1863	4
1863	3
1863	4
1863	3
1864	9
1864	3
1864	5
1864	4
1864	4
1864	4
1864	3
1864	3
1864	4
1864	5
1864	3
1864	3
1864	3
1864	3
1864	3
1864	3
1864	4
1864	3
1864	6
1864	4
1864	3
1864	3
1864	3
1864	3
1864	3
1864	6
1864	6
1864	3
1864	3
1864	3
1864	3
1864	5
1864	3
1864	3
1864	8
1864	4
1864	2
1864	2
1864	2
1864	4
1864	2
1864	3
1864	2
1864	2
1864	2
1864	2
1864	3
1864	2
1864	2
1864	3
1864	2
1864	2
1864	3
1864	2
1864	3
1864	2
1864	3
1864	3
1864	3
1864	2
1864	4
1864	4
1865	3
1865	3
1865	3
1865	4
1865	3
1865	3
1865	4
1865	6
1865	8
1865	3
1865	4
1865	3
1865	3
1865	3
1865	3
1865	3
1865	3
1866	3
1866	3
1866	4
1866	3
1866	3
1866	3
1866	3
1866	2
1866	4
1866	3
1866	3
1866	6
1866	3
1866	3
1866	4
1866	5
1866	2
1866	3
1866	3
1866	2
1866	3
1866	3
1866	4
1866	3
1866	3
1866	4
1866	4
1866	20
1866	4
1866	3
1866	3
1866	3
1866	4
1866	3
1866	3
1866	3
1866	3
1866	4
1866	4
1866	4
1866	5
1866	4
1866	2
1866	4
1866	3
1866	2
1866	9
1867	6
1867	4
1867	2
1867	3
1867	3
1867	2
1867	5
1867	3
1867	2
1867	2
1867	4
1867	7
1867	2
1867	5
1868	5
1868	3
