year	delta	season
1835	54	w
1840	68	s
1845	38	s
1851	47	s
1852	30	w
1853	37	s
1854	43	w
1857	35	w
1857	53	w
1857	35	w
1857	44	s
1858	30	w
1858	28	w
1858	23	w
1858	26	w
1859	35	w
1859	45	w
1860	5	s
1862	36	w
1862	48	w
1867	43	w
1868	6	s
1869	1	s
1873	63	s
1874	1	s
1877	2	s
1878	18	s
1880	5	s
1880	3	w
1883	3	w
1883	1	s
1884	1	s
1884	2	w
1885	2	w
1885	3	s
1887	1	s
1887	1	s
1887	1	s
1887	1	s
1887	1	s
1888	2	s
1888	2	s
1888	20	w
1888	43	w
