year	delta	season
1804	42	w
1805	56	w
1806	64	w
1812	46	w
1820	45	s
1821	49	s
1827	34	s
1832	29	s
1837	26	s
1837	24	s
1838	30	w
1848	16	w
1849	27	s
1856	16	w
1859	12	s
1860	20	s
1860	13	s
1860	11	s
1860	12	s
1860	19	w
1861	8	w
1861	14	w
1865	4	w
1867	18	w
1874	3	w
1879	9	s
