year	delta
1857	6
1857	5
1857	6
1857	9
1858	5
1858	5
1858	5
1858	4
1858	5
1858	5
1858	6
1858	6
1858	12
1858	17
1858	7
1858	6
1858	5
1858	5
1858	15
1858	6
1858	5
1858	6
1858	7
1858	6
1858	4
1858	7
1858	8
1858	6
1858	7
1858	6
1858	6
1858	5
1858	7
1858	5
1858	5
1858	4
1858	8
1858	5
1858	9
1858	6
1858	5
1858	6
1858	6
1858	9
1858	5
1858	7
1858	7
1858	5
1858	11
1858	7
1858	6
1858	6
1858	5
1858	6
1858	7
1858	6
1858	6
1858	7
1858	11
1858	6
1858	11
1858	7
1858	5
1858	7
1858	6
1858	7
1858	6
1858	6
1858	7
1858	6
1858	11
1858	9
1858	6
1858	4
1858	6
1858	6
1858	6
1858	8
1858	7
1858	5
1858	8
1858	7
1858	6
1858	6
1858	10
1858	8
1858	10
1858	9
1858	11
1858	8
1858	7
1858	6
1858	15
1858	10
1858	7
1858	6
1858	6
1858	8
1858	26
1858	6
1858	10
1858	8
1858	7
1858	4
1858	8
1858	5
1858	5
1858	7
1858	8
1858	6
1858	5
1858	5
1858	5
1858	13
1858	11
1858	10
1858	5
1858	7
1858	6
1858	7
1858	6
1858	4
1858	8
1858	6
1858	7
1858	4
1858	6
1859	8
1859	6
1859	8
1859	8
1859	8
1859	7
1859	8
1859	4
1859	5
1859	7
1859	6
1859	6
1859	9
1859	7
1859	6
1859	7
1859	5
1859	7
1859	6
1859	7
1859	7
1859	5
1859	9
1859	8
1859	7
1859	7
1859	6
1859	5
1859	9
1859	7
1859	6
1859	7
1859	6
1859	7
1859	13
1859	9
1859	7
1859	10
1859	9
1859	7
1859	8
1859	8
1859	8
1859	6
1859	8
1859	7
1859	7
1859	10
1859	7
1859	8
1859	13
1859	6
1859	7
1859	5
1859	10
1859	6
1859	4
1859	9
1859	6
1859	7
1860	6
1860	7
1860	43
1860	8
1860	7
1860	5
1860	6
1860	7
1860	8
1860	8
1860	7
1860	6
1860	7
1860	7
1860	8
1860	6
1860	10
1860	7
1860	6
1860	7
1860	5
1861	6
1861	11
1861	5
1861	6
1861	7
1861	8
1861	6
1861	7
1861	7
1861	5
1861	6
1861	6
1861	6
1861	6
1861	8
1861	7
1861	7
1861	6
1861	7
1861	4
1861	8
1861	7
1861	6
1861	9
1861	6
1861	7
1861	9
1861	6
1861	8
1861	7
1861	6
1861	6
1861	6
1861	7
1861	8
1861	8
1861	9
1861	4
1861	7
1861	8
1861	7
1861	7
1861	7
1861	6
1861	9
1861	5
1861	7
1861	7
1861	7
1861	9
1861	8
1861	9
1861	8
1861	11
1861	10
1862	11
1862	10
1862	7
1862	10
1862	11
1862	8
1862	11
1862	8
1862	12
1862	3
1862	9
1862	9
1862	8
1862	5
1862	7
1862	4
1862	4
1862	10
1862	10
1862	9
1862	13
1862	8
1862	10
1862	7
1862	13
1862	8
1862	9
1862	10
1862	19
1862	9
1862	12
1862	11
1862	3
1863	3
1863	6
1863	3
1863	4
1863	9
1863	3
1863	4
1863	4
1863	4
1864	3
1864	3
1864	7
1864	3
1864	3
1864	6
1864	5
1864	5
1864	6
1864	5
1864	5
1864	5
1864	6
1864	6
1864	7
1864	8
1864	7
1864	7
1864	2
1864	2
1864	5
1864	8
1864	11
1864	8
1864	2
1864	2
1864	8
1864	7
1864	5
1864	6
1864	2
1864	7
1864	2
1864	9
1864	2
1864	3
1865	3
1865	6
1865	3
1865	4
1865	4
1865	2
1865	3
1865	5
1865	4
1865	12
1865	6
1865	9
1865	7
1865	6
1865	2
1865	4
1865	3
1865	5
1865	11
1865	7
1865	7
1865	8
1866	5
1866	6
1866	4
1866	3
1866	3
1866	14
1866	5
1866	6
1866	3
1866	4
1866	4
1866	8
1866	19
1866	4
1866	7
1866	4
1866	4
1866	3
1866	4
1866	4
1866	5
1866	2
1867	2
1867	5
1867	5
1867	3
1867	5
1867	6
1867	17
1867	2
1867	8
1867	3
1867	3
1867	3
1867	6
1867	3
1867	6
1867	4
1867	3
1867	4
1867	7
1867	5
1867	2
1867	6
1867	1
1867	5
1867	1
1867	3
1867	6
1867	5
1867	5
1868	2
1868	5
1868	6
1868	2
1868	6
1868	1
1868	6
1868	4
1868	5
1868	3
1868	5
1868	6
1868	6
1868	3
1868	2
1868	3
1868	5
1868	3
1868	3
1868	2
1868	3
1868	2
1868	3
1868	3
1868	5
1868	6
1868	6
1869	3
1869	8
1869	3
1869	6
1869	3
1869	6
1869	3
1869	3
1869	5
1869	7
1869	6
1869	5
1869	2
1869	8
1869	8
1870	3
1870	6
1870	5
1870	3
1870	2
1870	7
1870	4
1870	5
1870	6
1870	6
1870	2
1870	2
1870	3
1870	2
1870	5
1870	7
1870	3
1870	2
1870	7
1870	2
1870	4
1870	3
1870	2
1870	2
1870	3
1870	2
1870	7
1870	3
1870	2
1870	7
1870	3
1870	2
1870	2
1870	2
1870	7
1870	7
1870	2
1870	3
1870	2
1870	3
1870	2
1870	2
1870	2
1870	3
1870	4
1870	2
1871	3
1871	2
1871	2
1871	4
1871	2
1871	6
1871	8
1871	6
1871	2
1871	2
1871	3
1871	2
1871	2
1871	2
1871	2
1871	3
1871	2
1871	2
1871	2
1871	2
1871	2
1872	2
1872	2
1872	2
1872	3
1872	4
1872	2
1872	2
1872	2
1872	3
1872	2
1872	2
1872	3
1872	2
1872	4
1872	3
1872	5
1872	2
1872	2
1872	2
1872	2
1873	3
1873	2
1873	3
1873	5
1873	3
1873	5
1873	2
1873	3
1873	4
1873	3
1873	3
1873	3
1874	3
1874	1
1874	3
1874	2
1874	3
1874	6
1874	3
1874	2
1874	2
1874	6
1875	3
1875	4
1875	4
1875	7
1875	7
1875	3
1875	4
1875	3
1875	3
1876	2
1876	2
1876	4
1876	3
1876	5
1876	7
1876	3
1876	3
1876	2
1877	3
1877	2
1877	3
1877	7
1878	4
1878	2
1878	3
1878	2
1878	3
1879	2
1879	2
1879	2
1879	3
1879	2
1880	3
1880	2
1880	2
1880	2
1880	3
1880	7
1880	2
1880	2
1880	3
1880	3
1881	2
1883	14
1884	3
1884	1
1885	2
1885	5
1886	5
1887	4
1887	3
1887	2
1887	2
1887	2
1887	5
1887	4
1888	2
1888	2
1888	2
1888	3
1888	3
1888	2
1888	5
