year	delta	season
1833	67	s
1833	69	w
1834	83	s
1836	86	w
1838	68	w
1838	65	w
1838	57	s
1842	57	w
1844	65	w
1848	40	w
1855	31	s
1862	87	s
1863	35	w
1863	42	s
1863	46	s
1863	65	w
1865	28	s
1865	25	s
1866	38	w
1866	18	w
1867	17	w
1867	39	w
1867	44	s
1867	21	w
1870	38	s
