year	delta	season
1803	31	w
1804	34	w
1817	28	w
1817	29	w
1823	31	w
1823	27	w
1831	21	s
1835	19	s
1835	18	w
1837	15	s
1840	13	s
1844	16	w
1859	8	w
1865	3	s
1868	11	s
1869	3	s
1869	3	s
1871	4	w
1875	2	w
1875	1	w
