year	delta	season
1804	21	w
1805	21	s
1806	18	s
1808	38	s
1809	23	w
1809	18	s
1809	32	s
1809	32	s
1810	21	w
1811	20	w
1815	18	w
1819	18	w
1828	11	w
1830	13	s
1830	13	s
1830	13	w
1830	14	w
1831	18	w
1831	24	s
1831	12	w
1836	12	s
1841	10	w
1846	19	w
1848	9	w
1848	10	w
1849	7	s
1851	24	s
1854	8	w
1854	7	s
1855	7	s
1858	4	w
1861	7	w
1861	14	w
1866	4	w
1867	7	w
1873	8	s
1873	7	w
1879	2	s
1887	4	s
