year	delta	season
1810	35	w
1810	42	w
1810	27	s
1810	33	s
1811	26	s
1811	34	s
1811	30	s
1811	25	s
1812	18	s
1812	33	s
1812	30	w
1813	27	s
1814	27	s
1833	15	w
1838	25	s
1863	18	s
1866	15	w
1870	1	s
1871	3	s
1873	1	w
1873	2	w
1875	9	s
